place_id,name,address,raw_phone,wa_number,website,rating,user_ratings_total,place_types,price_level,scraped_at
ChIJ9Z4nSU9b4joR-5DtWDchk_A,Velvet Bean Cafe & Restaurant,"21 Old Kesbewa Rd, Nugegoda 10250, Sri Lanka",077 257 2112,94772572112,,4.7,13,"restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJDVOItN5R4joRR9DQzKJlPd8,ARCADIA Cafe & Restaurant,"Wickramasinghapura Rd, Battaramulla, Sri Lanka",0112 576 797,,,4.2,1515,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJ1wNo2hJQ4joRtMyESyaMMNk,SAN Villa Restaurant & Hotel,"RWPM+843, B367, Maharagama, Sri Lanka",075 621 1111,94756211111,,3.9,200,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJ3VU8ZiRb4joRDP9l4B0Lb9E,Wadakaya,"537 High Level Rd, Nugegoda 10250, Sri Lanka",077 247 4336,94772474336,,5,5,"restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ7cTgF1Ba4joRVqtLmFqZ2-U,Gihans Family Restaurant and Pub,"90, S De S. Jayasinghe Road, 10250, Sri Lanka",0112 852 030,,,4,2187,"restaurant, food, bar, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJAVGXMOZb4joRAcGsfaRVZok,මස්ම EAT - Masma EAT BBQ Nugegoda,"94 Pepiliyana Rd, Nugegoda 10250, Sri Lanka",071 688 8222,94716888222,,4.6,394,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJKenSxFxa4joRvLeUMB_fwew,Chinese Dragon Cafe - Nugegoda,"242 High Level Rd, Nugegoda, Sri Lanka",0117 808 080,,http://www.chinesedragoncafe.com/,4.4,2703,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJPz-HUsdb4joR8-VDm19p-HM,the recipes wijerama,"54/2 School Ln, Nugegoda 10250, Sri Lanka",,,,5,1,"restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJSyPig_Fb4joR9APzLr94gQo,20-20 Family Restaurant,"88a Sunethradevi Rd, Nugegoda, Sri Lanka",0112 828 818,,https://www.facebook.com/2020FamilyRestaurant/,3.7,213,"restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJi04z1l9b4joRH_48_sTiKMg,"Cimply Yummy - Jubilee Post, Mirihana","No 77A Mirihana Rd, Nugegoda 10100, Sri Lanka",070 433 3444,94704333444,https://www.facebook.com/cimplyyummy/,4.4,814,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJPeDrLWtb4joRX3sb3ZDVxJo,Meat Carlos,"295 High Level Rd, Nugegoda, Sri Lanka",077 744 4909,94777444909,https://www.facebook.com/meatcarlos/,4.6,940,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJqcJUF7lb4joRR7NeHfatczk,The Paddock Club Café & Lounge,"69 Sunethradevi Rd, Nugegoda 10250, Sri Lanka",0112 756 990,,,4.8,75,"restaurant, night_club, cafe, food, bar, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJzc1w8kNb4joRF4klhdJddns,Wokabulary,"249 Old Kottawa Rd, Nugegoda 10250, Sri Lanka",076 608 7824,94766087824,,5,12,"restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJLQuoYfVb4joR4XwxHb3Fv1w,Grand Squid,"405-A Old Kottawa Rd, Nugegoda, Sri Lanka",071 476 8768,94714768768,http://www.grandsquid.lk/,4.5,160,"restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJvWFsn2ta4joRG8SsldZh45k,Spinneys Restaurant Jubilee Post,"11 Old Kottawa Rd, Nugegoda 10250, Sri Lanka",0112 821 482,,,4.1,428,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJV1Kj-IFb4joRcPkPyHaYIPU,My Joint - BYOB,"249 Old Kottawa Rd, Nugegoda, Sri Lanka",075 220 6206,94752206206,,4.8,131,"restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ_dQhTDRb4joRyNo5jKph75s,The Hokey Pokey with Spisia,"90C Sunethradevi Rd, Nugegoda 10250, Sri Lanka",077 781 8180,94777818180,,4.3,140,"restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJfy0VUwBb4joRQkVhu35s51w,Banana Leaf - Nugegoda,"150e High Level Rd, Nugegoda, Sri Lanka",0112 515 572,,,4.1,89,"restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJK6dYwpZQ4joR2R8wxRuXXTo,Grand 7 Restaurant - Thalawathugoda,"No:531,Capital Mall, Pitakotte - Talawatugoda Rd, Sri Jayawardenepura Kotte, Sri Lanka",0114 542 881,,https://grand7restaurant.com/,4.3,665,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJdcOifHBQ4joRr7iLnFpc684,Blue Sky Space restaurant,"83 High Level Rd, Maharagama 10280, Sri Lanka",0114 809 392,,,4,532,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJ56Xg9qNb4joRwEv_1RqV1sE,Balalaika Gallery Cafe,"9 Jambugasmulla Rd, Nugegoda, Sri Lanka",077 280 0878,94772800878,,4.3,177,"restaurant, art_gallery, clothing_store, food, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ6zFUJeNb4joRl7wnoymi7UA,Tango Restaurant - Boralesgamuwa,"114b Colombo - Horana Rd, Boralesgamuwa, Sri Lanka",0112 048 884,,http://tangorest.lk/,4,1527,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJr_zmusxb4joRaUP64Mw1jO8,OMNI Restaurant,"No.52 Old Maharagama Rd, Maharagama 10280, Sri Lanka",070 206 6666,94702066666,,4,508,"restaurant, bakery, food, store, point_of_interest, establishment",2,2025-09-28 03:41:21
